   Row     Odds(this row)  Evens(this row)	   Odd Percentage(this row)      Total Odds      Total Evens  	    Total Odds Percentage     
         1                1               0	1.0                                          1               0	1.0
         2                2               0	1.0                                          3               0	1.0
         3                2               1	0.6666666666666666                           5               1	0.8333333333333334
         4                4               0	1.0                                          9               1	0.9
         5                2               3	0.4                                         11               4	0.7333333333333333
         6                4               2	0.6666666666666666                          15               6	0.7142857142857143
         7                4               3	0.5714285714285714                          19               9	0.6785714285714286
         8                8               0	1.0                                         27               9	0.75
         9                2               7	0.2222222222222222                          29              16	0.6444444444444445
        10                4               6	0.4                                         33              22	0.6
        11                4               7	0.36363636363636365                         37              29	0.5606060606060606
        12                8               4	0.6666666666666666                          45              33	0.5769230769230769
        13                4               9	0.3076923076923077                          49              42	0.5384615384615384
        14                8               6	0.5714285714285714                          57              48	0.5428571428571428
        15                8               7	0.5333333333333333                          65              55	0.5416666666666666
        16               16               0	1.0                                         81              55	0.5955882352941176
        17                2              15	0.11764705882352941                         83              70	0.5424836601307189
        18                4              14	0.2222222222222222                          87              84	0.5087719298245614
        19                4              15	0.21052631578947367                         91              99	0.4789473684210526
        20                8              12	0.4                                         99             111	0.4714285714285714
        21                4              17	0.19047619047619047                        103             128	0.4458874458874459
        22                8              14	0.36363636363636365                        111             142	0.43873517786561267
        23                8              15	0.34782608695652173                        119             157	0.4311594202898551
        24               16               8	0.6666666666666666                         135             165	0.45
        25                4              21	0.16                                       139             186	0.4276923076923077
        26                8              18	0.3076923076923077                         147             204	0.4188034188034188
        27                8              19	0.2962962962962963                         155             223	0.41005291005291006
        28               16              12	0.5714285714285714                         171             235	0.4211822660098522
        29                8              21	0.27586206896551724                        179             256	0.4114942528735632
        30               29               1	0.9666666666666667                         208             257	0.44731182795698926
        31               16              15	0.5161290322580645                         224             272	0.45161290322580644
        32               32               0	1.0                                        256             272	0.48484848484848486
        33               23              10	0.696969696969697                          279             282	0.49732620320855614
        34                4              30	0.11764705882352941                        283             312	0.4756302521008403
        35               27               8	0.7714285714285715                         310             320	0.49206349206349204
        36                8              28	0.2222222222222222                         318             348	0.4774774774774775
        37                4              33	0.10810810810810811                        322             381	0.45803698435277385
        38                8              30	0.21052631578947367                        330             411	0.44534412955465585
        39                8              31	0.20512820512820512                        338             442	0.43333333333333335
