              6 :		   3		[4, 6, 6]                     
             10 :		   4		[5, 5, 10, 10]                
             15 :		   4		[6, 6, 15, 15]                
             20 :		   3		[6, 20, 20]                   
             21 :		   4		[7, 7, 21, 21]                
             35 :		   4		[7, 7, 35, 35]                
             28 :		   4		[8, 8, 28, 28]                
             56 :		   3		[8, 8, 56]                    
             36 :		   4		[9, 9, 36, 36]                
             84 :		   3		[9, 9, 84]                    
            126 :		   3		[9, 9, 126]                   
             45 :		   4		[10, 10, 45, 45]              
            120 :		   5		[10, 10, 16, 16, 120]         
            210 :		   5		[10, 10, 21, 21, 210]         
             55 :		   4		[11, 11, 55, 55]              
            165 :		   3		[11, 11, 165]                 
            330 :		   4		[11, 11, 330, 330]            
            462 :		   4		[11, 11, 462, 462]            
             66 :		   3		[12, 12, 66]                  
            220 :		   3		[12, 12, 220]                 
            495 :		   3		[12, 12, 495]                 
            792 :		   3		[12, 12, 792]                 
             78 :		   3		[13, 13, 78]                  
            286 :		   3		[13, 13, 286]                 
            715 :		   3		[13, 13, 715]                 
             91 :		   3		[14, 14, 91]                  
            364 :		   3		[14, 14, 364]                 
           3003 :		   5		[14, 14, 15, 15, 78]          
            105 :		   3		[15, 15, 105]                 
            455 :		   3		[15, 15, 455]                 
            560 :		   3		[16, 16, 560]                 
            136 :		   3		[17, 17, 136]                 
            680 :		   3		[17, 17, 680]                 
          24310 :		   3		[17, 17, 221]                 
            153 :		   3		[18, 18, 153]                 
            816 :		   3		[18, 18, 816]                 
            171 :		   3		[19, 19, 171]                 
            969 :		   3		[19, 19, 969]                 
          11628 :		   3		[19, 19, 153]                 
            190 :		   3		[20, 20, 190]                 
            231 :		   3		[22, 22, 231]                 
           1540 :		   3		[22, 22, 56]                  
            253 :		   3		[23, 23, 253]                 
            276 :		   3		[24, 24, 276]                 
            300 :		   4		[25, 25, 300, 300]            
            325 :		   4		[26, 26, 325, 325]            
            351 :		   3		[27, 27, 351]                 
            378 :		   3		[28, 28, 378]                 
            435 :		   3		[30, 30, 435]                 
            465 :		   3		[31, 31, 465]                 
            496 :		   3		[32, 32, 496]                 
            528 :		   3		[33, 33, 528]                 
            595 :		   3		[35, 35, 595]                 
            630 :		   3		[36, 36, 630]                 
           7140 :		   3		[36, 36, 120]                 
            666 :		   3		[37, 37, 666]                 
            703 :		   3		[38, 38, 703]                 
            741 :		   3		[39, 39, 741]                 
            780 :		   3		[40, 40, 780]                 
            820 :		   4		[41, 41, 820, 820]            
            861 :		   3		[42, 42, 861]                 
            946 :		   3		[44, 44, 946]                 
            990 :		   3		[45, 45, 990]                 
